Source,Target,Correct dep inference?,Remark (if needed),Classification
io :: crates :: maze :: v_0_1_2,io :: crates :: imageproc :: v_0_6_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: exonum :: v_0_3_0,io :: crates :: headers :: v_0_1_0,TRUE,-,NOT-IMPORT
io :: crates :: zopfli :: v_0_3_4,io :: crates :: adler32 :: v_0_2_0,FALSE,-,DYNAMIC-CALL
io :: crates :: cairo_sys_rs :: v_0_3_2,io :: crates :: x11 :: v_2_17_2,FALSE,"#cfg feature, needs x11::xlib set",CONDITIONAL
io :: crates :: hwaddr :: v_0_1_3,io :: crates :: phf :: v_0_7_21,TRUE,-,NOT-IMPORT
io :: crates :: criterion_plot :: v_0_1_0,io :: crates :: itertools :: v_0_4_19,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: rebind :: v_0_0_4,io :: crates :: fnv :: v_1_0_6,FALSE,-,CONDITIONAL
io :: crates :: text_diff :: v_0_4_0,io :: crates :: getopts :: v_0_2_17,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: simple_stream :: v_0_2_7,io :: crates :: log :: v_0_3_9,FALSE,imported but no macro calls made,TYPE-ONLY-DEP
io :: crates :: dsp_chain :: v_0_13_0,io :: crates :: daggy :: v_0_4_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: simple_stream :: v_0_2_9,io :: crates :: openssl :: v_0_7_14,FALSE,"not called, gen def missing",GENERIC-FUNC-DF
io :: crates :: netio :: v_0_4_2,io :: crates :: memchr :: v_0_1_11,FALSE,"memchr is a C-wrapper, so showing it as C-calls",C-CALL
io :: crates :: mysql_common :: v_0_5_0,io :: crates :: bitflags :: v_1_0_1,FALSE,Macro invocations,MACRO
io :: crates :: metrics_distributor :: v_0_1_0,io :: crates :: router :: v_0_1_1,TRUE,used in example but not as part of the lib,NOT-IMPORT
io :: crates :: esprit :: v_0_0_4,io :: crates :: unjson :: v_0_0_4,TRUE,not imported in lib,NOT-IN-LIB
io :: crates :: code_sandwich_crates_io_release_test :: v_0_1_1,io :: crates :: code_sandwich_crates_io_release_test_macros :: v_0_1_1,FALSE,macros,MACRO
io :: crates :: pazi :: v_0_0_1,io :: crates :: chan :: v_0_1_21,TRUE,Not imported in lib.rs,NOT-IN-LIB
io :: crates :: ciruela :: v_0_5_3,io :: crates :: mopa :: v_0_2_2,FALSE,macro invocations,MACRO
io :: crates :: path_abs :: v_0_2_0,io :: crates :: stfu8 :: v_0_2_4,FALSE,-,CONDITIONAL
io :: crates :: repomon :: v_0_1_0,io :: crates :: getset :: v_0_0_5,TRUE,not imported in library code,NOT-IN-LIB
io :: crates :: servo_glutin :: v_0_12_2,io :: crates :: core_graphics :: v_0_9_1,FALSE,OS X specific,CONDITIONAL
io :: crates :: staticfile :: v_0_3_1,io :: crates :: iron :: v_0_4_0,FALSE,-,DYNAMIC-CALL
io :: crates :: gateway :: v_0_0_0,io :: crates :: cpython_json :: v_0_2_0,TRUE,Not even written in src,NOT-IMPORT
io :: crates :: poisson :: v_0_7_0,io :: crates :: nalgebra :: v_0_2_23,TRUE,not used,NOT-IMPORT
io :: crates :: boldline :: v_0_1_1,io :: crates :: clap :: v_2_30_0,TRUE,Not even written in src,NOT-IMPORT
io :: crates :: android_logger :: v_0_2_4,io :: crates :: android_log_sys :: v_0_1_2,TRUE,not imported,NOT-IMPORT
io :: crates :: push_trait :: v_0_3_0,io :: crates :: linear_map :: v_0_0_4,FALSE,"#[cfg(feature = ""linear-map"")] but no extern",CONDITIONAL
io :: crates :: pancakes :: v_0_1_0,io :: crates :: gimli :: v_0_9_0,TRUE,just imported and not used,NOT-IMPORT
io :: crates :: an_rope :: v_0_3_1,io :: crates :: tendril :: v_0_2_4,FALSE,conditional,CONDITIONAL
io :: crates :: ff_find :: v_0_12_0,io :: crates :: find_mountpoint :: v_1_0_3,TRUE,not imported in the lib,NOT-IN-LIB
io :: crates :: rsgenetic :: v_0_8_10,io :: crates :: time :: v_0_1_39,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: rowcol :: v_0_3_2,io :: crates :: odds :: v_0_2_26,FALSE,inside unsafe brackets,C-CALL
io :: crates :: rowcol :: v_0_3_2,io :: crates :: nodrop :: v_0_1_12,FALSE,call in a generic function,CALL-IN-GEN-DEF
io :: crates :: immutable_seq :: v_0_1_2,io :: crates :: quickcheck :: v_0_4_2,TRUE,no import,NOT-IMPORT
io :: crates :: tracetree :: v_0_1_5,io :: crates :: spawn_ptrace :: v_0_1_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: resource_proof :: v_0_1_0,io :: crates :: termion :: v_1_1_4,TRUE,not imported,NOT-IMPORT
io :: crates :: dlopen :: v_0_1_1,io :: crates :: dlopen_derive :: v_0_1_1,TRUE,-,NOT-IMPORT
io :: crates :: wyrm :: v_0_4_0,io :: crates :: stdsimd :: v_0_0_3,FALSE,call inside unsafe closure,C-CALL
io :: crates :: minterpolate :: v_0_2_1,io :: crates :: mint :: v_0_4_9,FALSE,missing fn defs,GENERIC-FUNC-DF
io :: crates :: badger :: v_0_2_0,io :: crates :: docopt :: v_0_6_86,TRUE,"not imported, used in main.rs",NOT-IN-LIB
io :: crates :: beam :: v_0_2_0,io :: crates :: point :: v_0_3_1,FALSE,ds imported  ,TYPE-ONLY-DEP
io :: crates :: pod :: v_0_1_1,io :: crates :: nue_io :: v_0_1_0,TRUE,seems to be imported in modules also many lines commented,NOT-IN-LIB
io :: crates :: rustfm_scrobble :: v_0_9_0,io :: crates :: wrapped_vec :: v_0_2_1,FALSE,scrobble_batch calls iter from wrappedVec,MACRO
io :: crates :: cmac :: v_0_1_0,io :: crates :: block_cipher_trait :: v_0_5_0,FALSE,-,TYPE-ONLY-DEP
io :: crates :: sophon_wasm :: v_0_15_3,io :: crates :: log :: v_0_3_9,TRUE,no use of the log macro,NOT-IMPORT
io :: crates :: lexer :: v_0_1_9,io :: crates :: chars_input :: v_0_2_2,FALSE,-,CONDITIONAL
io :: crates :: blake2 :: v_0_3_0,io :: crates :: digest :: v_0_3_1,FALSE,types used in implementation,TYPE-ONLY-DEP
io :: crates :: pop_trait :: v_0_2_1,io :: crates :: blist :: v_0_0_4,FALSE,-,CONDITIONAL
io :: crates :: pyo3 :: v_0_2_3,io :: crates :: pyo3cls :: v_0_2_1,FALSE,"imported but not used (also checked for class(, method(, proto( in the codebased)",TYPE-ONLY-DEP
io :: crates :: md4 :: v_0_7_0,io :: crates :: fake_simd :: v_0_1_2,FALSE,"u32x4 used is a struct (looked like it was a call), so no call here",TYPE-ONLY-DEP
io :: crates :: melo :: v_0_1_0,io :: crates :: structopt_derive :: v_0_1_6,TRUE,not imported in lib.rs,NOT-IN-LIB
io :: crates :: tenjin :: v_0_4_0,io :: crates :: htmlescape :: v_0_3_1,FALSE,-,CONDITIONAL
io :: crates :: geohash :: v_0_2_7,io :: crates :: geo :: v_0_0_7,FALSE,Only uses DS and its fields,TYPE-ONLY-DEP
io :: crates :: phf_shared :: v_0_7_20,io :: crates :: unicase :: v_1_4_2,FALSE,-,CONDITIONAL
io :: crates :: cssparser :: v_0_9_0,io :: crates :: serde :: v_0_8_23,FALSE,"[cfg(feature = ""serde"")] extern crate serde;",CONDITIONAL
io :: crates :: ciruela :: v_0_5_3,io :: crates :: gumdrop :: v_0_4_0,FALSE,use of macro functions,MACRO
io :: crates :: twist :: v_0_1_4,io :: crates :: slog_atomic :: v_0_4_3,TRUE,not imported,NOT-IMPORT
io :: crates :: undo :: v_0_4_0,io :: crates :: fnv :: v_1_0_6,TRUE,-,NOT-IMPORT
io :: crates :: cargo_update :: v_0_6_2,io :: crates :: tabwriter :: v_0_1_25,TRUE,-,NOT-IMPORT
io :: crates :: tui :: v_0_1_3,io :: crates :: log :: v_0_3_9,FALSE,imported but no macro call used ,TYPE-ONLY-DEP
io :: crates :: arthas :: v_0_1_1,io :: crates :: serde_derive :: v_0_8_23,FALSE, impl traits from the dependency (but no invocation),TYPE-ONLY-DEP
io :: crates :: djangohashers :: v_0_2_1,io :: crates :: fastpbkdf2 :: v_0_1_0,FALSE,conditional,CONDITIONAL
io :: crates :: Lattice :: v_0_3_11,io :: crates :: sdl2 :: v_0_30_0,FALSE,call inside generic function,CALL-IN-GEN-DEF
io :: crates :: sniffglue :: v_0_4_0,io :: crates :: seccomp_sys :: v_0_1_2,FALSE,no function calls (but condtional),CONDITIONAL
io :: crates :: terminal_graphics :: v_0_1_0,io :: crates :: termion :: v_1_5_1,TRUE,-,NOT-IMPORT
io :: crates :: typemap :: v_0_3_0,io :: crates :: unsafe_any :: v_0_4_2,FALSE,just type maping,TYPE-ONLY-DEP
io :: crates :: tm4c123x :: v_0_6_0,io :: crates :: cortex_m :: v_0_4_3,FALSE,data structs use,TYPE-ONLY-DEP
io :: crates :: ciruela :: v_0_5_3,io :: crates :: ssh_keys :: v_0_1_0,FALSE,dynamic call,DYNAMIC-CALL
io :: crates :: immi :: v_0_1_3,io :: crates :: time :: v_0_1_39,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: ethereum_types :: v_0_1_1,io :: crates :: uint :: v_0_1_2,FALSE,macro calls construct_uint!,MACRO
io :: crates :: sophon_wasm :: v_0_15_3,io :: crates :: byteorder :: v_1_2_1,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: ciruela :: v_0_5_4,io :: crates :: ns_env_config :: v_0_1_0,TRUE,"not exported in lib.rs, but part of main.rs",NOT-IN-LIB
io :: crates :: minifb :: v_0_7_1,io :: crates :: x11_dl :: v_2_2_1,FALSE,only constants used in keysym https://github.com/Daggerbot/x11-rs/blob/master/src/keysym.rs,TYPE-ONLY-DEP
io :: crates :: cargo_update :: v_0_6_4,io :: crates :: lazysort :: v_0_1_1,TRUE,-,NOT-IMPORT
io :: crates :: ketree :: v_0_3_0,io :: crates :: ketos :: v_0_10_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: xstream :: v_0_1_0,io :: crates :: hkdf :: v_0_3_0,TRUE,used in submodule,NOT-IN-LIB
io :: crates :: rusoto_elasticache :: v_0_25_0,io :: crates :: xml_rs :: v_0_3_8,TRUE,not imported,NOT-IMPORT
io :: crates :: postgres_range :: v_0_8_2,io :: crates :: byteorder :: v_0_5_3,FALSE,dynamic function call,DYNAMIC-CALL
io :: crates :: yaml_rust :: v_0_3_4,io :: crates :: linked_hash_map :: v_0_3_0,FALSE,defined as type,TYPE-ONLY-DEP
io :: crates :: rad :: v_0_2_1,io :: crates :: ceph_rust :: v_0_1_17,FALSE,calls inside unsafe closure,C-CALL
io :: crates :: conduit_router :: v_0_8_0,io :: crates :: semver :: v_0_5_1,TRUE,"used inside #[cfg(test)], shoudl be declered as test-dep",TEST-CODE
io :: crates :: voice :: v_0_1_1,io :: crates :: eudex :: v_0_1_1,TRUE,-,NOT-IMPORT
io :: crates :: atty :: v_0_2_6,io :: crates :: termion :: v_1_5_1,FALSE,"function called for redos, due to condtional comp",CONDITIONAL
io :: crates :: fruently :: v_0_7_2,io :: crates :: rmp_serialize :: v_0_8_0,FALSE,,CALL-IN-GEN-DEF
io :: crates :: groestl :: v_0_1_0,io :: crates :: digest_buffer :: v_0_2_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: vidar :: v_0_1_0,io :: crates :: getset :: v_0_0_5,TRUE,Imported but never used,NOT-IMPORT
io :: crates :: mp4parse :: v_0_0_5,io :: crates :: byteorder :: v_0_3_13,FALSE,-,CONDITIONAL
io :: crates :: xmath :: v_0_2_4,io :: crates :: glium :: v_0_14_0,FALSE,-,CONDITIONAL
io :: crates :: Lattice :: v_0_3_11,io :: crates :: time :: v_0_1_39,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: dds_rs :: v_0_2_0,io :: crates :: clap :: v_2_30_0,TRUE,not part of the lib,NOT-IN-LIB
io :: crates :: maze :: v_0_1_2,io :: crates :: serde_derive :: v_0_8_23,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: Lattice :: v_0_3_11,io :: crates :: image :: v_0_13_0,TRUE,imported in view.rs,NOT-IN-LIB
io :: crates :: postgres_range :: v_0_8_2,io :: crates :: postgres :: v_0_11_12,FALSE,call inside a generic fn,CALL-IN-GEN-DEF
io :: crates :: fftw :: v_0_4_0,io :: crates :: procedurals :: v_0_2_3,FALSE,import but perhaps no show due to condtional,CONDITIONAL
io :: crates :: license :: v_0_4_0,io :: crates :: bitflags :: v_1_0_1,FALSE,calling macro functions from the dependency,MACRO
io :: crates :: lcov_parser :: v_0_1_0,io :: crates :: lines :: v_0_0_3,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: condition_variable :: v_0_1_5,io :: crates :: time :: v_0_1_39,FALSE,"gen fn, time called in `	pub fn wait_for_condition_ms<F:FnMut(&T) -> bool>(&self, mut cond_func: F, timeout_ms: i64)`",CALL-IN-GEN-DEF
io :: crates :: rls_analysis :: v_0_7_1,io :: crates :: derive_new :: v_0_5_0,FALSE,imported macros (macro invocations),MACRO
io :: crates :: eep :: v_0_1_0,io :: crates :: leb128 :: v_0_2_2,FALSE,imported but not used,CONDITIONAL
io :: crates :: webview :: v_0_1_1,io :: crates :: urlencoding :: v_1_0_0,FALSE,-,CALL-IN-GEN-DEF
io :: crates :: sat :: v_0_1_0,io :: crates :: tempfile :: v_2_2_0,FALSE,-,CALL-IN-GEN-DEF
